,_id,title,min_salary,max_salary,currency,href,site
0,52061597,Junior Data Engineer (Intern),,,,https://saratov.hh.ru/vacancy/52061597?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
1,52203762,Junior разработчик Python Django,40000.0,80000.0,руб.,https://saratov.hh.ru/vacancy/52203762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
2,53184327,Junior Data Engineer (Python),150000.0,190000.0,руб.,https://saratov.hh.ru/vacancy/53184327?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
3,53237122,Intern / Junior Python backend developer,,60000.0,руб.,https://saratov.hh.ru/vacancy/53237122?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
4,53130523,Junior Python разработчик,50000.0,60000.0,руб.,https://saratov.hh.ru/vacancy/53130523?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
5,52693378,Junior Data Engineer,150000.0,,руб.,https://saratov.hh.ru/vacancy/52693378?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
6,52087160,Junior Backend-разработчик (Python),50000.0,,руб.,https://saratov.hh.ru/vacancy/52087160?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
7,39736489,"Python-разработчик (Django, DRF)",60000.0,150000.0,руб.,https://saratov.hh.ru/vacancy/39736489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
8,52546671,Strong Junior / Middle+ Python Developer,1000.0,4000.0,USD,https://saratov.hh.ru/vacancy/52546671?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
9,49789002,"Junior programmer (Python, C++)",,,,https://saratov.hh.ru/vacancy/49789002?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
10,53211742,Junior Data scientist/ Младший риск-аналитик,,,,https://saratov.hh.ru/vacancy/53211742?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
11,53370223,Программист Python,,300000.0,руб.,https://saratov.hh.ru/vacancy/53370223?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
12,53212166,Junior Python/Golang Backend Developer (Data),,100000.0,руб.,https://saratov.hh.ru/vacancy/53212166?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
13,50662974,Junior Web Developer (удаленно),,100000.0,руб.,https://saratov.hh.ru/vacancy/50662974?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
14,51190526,Python-разработчик,100000.0,150000.0,руб.,https://saratov.hh.ru/vacancy/51190526?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
15,52665206,Python developer / Junior ML engineer,,,,https://saratov.hh.ru/vacancy/52665206?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
16,53270882,Junior Data Science разработчик,70000.0,100000.0,руб.,https://saratov.hh.ru/vacancy/53270882?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
17,52008061,DevOps-инженер junior,,150000.0,руб.,https://saratov.hh.ru/vacancy/52008061?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
18,51697031,Junior Python developer,50000.0,90000.0,руб.,https://saratov.hh.ru/vacancy/51697031?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
19,53068616,Product/Data Analyst (Junior),,1000.0,USD,https://saratov.hh.ru/vacancy/53068616?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
20,52819002,Bi Analyst (Junior),,,,https://saratov.hh.ru/vacancy/52819002?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
21,53212518,Аналитик Data science (junior),40000.0,60000.0,руб.,https://saratov.hh.ru/vacancy/53212518?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
22,53364161,Junior Groovy/Java разработчик,,,,https://saratov.hh.ru/vacancy/53364161?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
23,51721204,DevOps engineer (junior),110000.0,150000.0,руб.,https://saratov.hh.ru/vacancy/51721204?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
24,52200889,Computer Vision Engineer (junior/intern),,,,https://saratov.hh.ru/vacancy/52200889?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
25,47762287,RTL-разработчик (Junior),70000.0,110000.0,руб.,https://saratov.hh.ru/vacancy/47762287?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
26,52279482,Junior C++ Developer,,,,https://saratov.hh.ru/vacancy/52279482?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
27,52241628,Младший аналитик данных,,,,https://saratov.hh.ru/vacancy/52241628?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
28,52889979,Инженер поддержки (Junior),55000.0,70000.0,руб.,https://saratov.hh.ru/vacancy/52889979?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
29,45491472,Младший специалист по верификации RTL (Junior),80000.0,120000.0,руб.,https://saratov.hh.ru/vacancy/45491472?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
30,52807811,DevOps инженер (junior),,,,https://saratov.hh.ru/vacancy/52807811?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
31,51911899,Специалист по тестированию / QA Engineer (manual + junior auto),,2300.0,USD,https://saratov.hh.ru/vacancy/51911899?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
32,53186457,Junior data engineer,,,,https://saratov.hh.ru/vacancy/53186457?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python%20junior,HeadHunter
